time,x,y,height
1770963173.511159,,,
1770963173.7203271,610.6173706054688,139.55889892578125,-158.63526916503906
1770963173.7933724,603.166748046875,136.94676208496094,-163.4271697998047
1770963173.8593316,612.146728515625,144.67469787597656,-164.79721069335938
1770963173.9202938,612.1930541992188,144.79661560058594,-164.96295166015625
1770963173.980257,610.0798950195312,143.01544189453125,-164.01571655273438
1770963174.043217,611.3883666992188,144.08944702148438,-164.79437255859375
1770963174.1071794,611.432861328125,144.08251953125,-164.78494262695312
1770963174.1671424,611.96484375,144.4866180419922,-164.54151916503906
1770963174.231102,612.8152465820312,145.16021728515625,-164.23782348632812
1770963174.290065,613.5131225585938,145.7165985107422,-164.78089904785156
1770963174.34803,613.9890747070312,146.0488739013672,-165.23260498046875
1770963174.408628,614.4251708984375,146.27371215820312,-165.53826904296875
1770963174.4655938,615.126953125,146.66558837890625,-165.36985778808594
1770963174.5235584,615.72900390625,147.03213500976562,-165.3896942138672
1770963174.5835197,615.3274536132812,146.6837921142578,-165.3946075439453
1770963174.641486,614.7613525390625,146.2067108154297,-164.74603271484375
1770963174.69945,613.4545288085938,145.24810791015625,-164.3572998046875
1770963174.757413,612.36572265625,144.47300720214844,-164.52301025390625
1770963174.817376,611.0916748046875,143.5168914794922,-164.01600646972656
1770963174.879235,610.2039184570312,142.88156127929688,-163.83370971679688
1770963174.9401152,608.9133911132812,142.06680297851562,-163.9790802001953
1770963175.0027578,608.3768920898438,141.70103454589844,-164.3034210205078
1770963175.0608768,607.5638427734375,141.08132934570312,-163.46096801757812
1770963175.1178424,606.8025512695312,140.4991912841797,-163.37265014648438
1770963175.1748085,606.3902587890625,140.3412322998047,-164.382568359375
1770963175.235817,604.9442749023438,139.24990844726562,-163.93093872070312
1770963175.2937338,602.6786499023438,137.7237091064453,-164.4833984375
1770963175.3516998,600.7227783203125,136.48101806640625,-164.54798889160156
1770963175.4121644,599.62451171875,135.8019256591797,-164.6433868408203
1770963175.4721274,598.5408325195312,135.04244995117188,-164.7898712158203
1770963175.5330899,597.6019897460938,134.48341369628906,-164.24594116210938
1770963175.5910544,596.7064208984375,133.82200622558594,-164.02259826660156
1770963175.6510177,595.838623046875,133.19735717773438,-163.68386840820312
1770963175.7069814,594.5053100585938,132.3570098876953,-162.7889862060547
1770963175.7669466,592.7631225585938,131.14620971679688,-161.1048583984375
1770963175.8269095,591.6102294921875,130.37269592285156,-161.2033233642578
1770963175.8848736,590.8331298828125,129.81150817871094,-161.12014770507812
1770963175.9428365,590.1190185546875,129.23736572265625,-160.33961486816406
1770963176.0018024,589.7398681640625,129.10781860351562,-160.1634979248047
1770963176.0617633,589.4573364257812,128.90760803222656,-159.89132690429688
1770963176.124726,588.940673828125,128.54640197753906,-159.40028381347656
1770963176.1826909,588.1099243164062,127.96906280517578,-158.61541748046875
1770963176.2406554,587.842041015625,127.78263092041016,-158.36196899414062
1770963176.2996197,587.6402587890625,127.71290588378906,-158.26718139648438
1770963176.357582,587.343994140625,127.4767074584961,-157.94607543945312
1770963176.4181194,587.8878784179688,127.9612045288086,-158.604736328125
1770963176.4740856,588.1710205078125,128.178955078125,-158.9007568359375
1770963176.5340476,588.2560424804688,128.2517547607422,-158.99972534179688
1770963176.59501,588.0711059570312,128.1642303466797,-158.8807373046875
1770963176.654975,588.0592041015625,128.29054260253906,-159.0524444580078
1770963176.7149365,587.980224609375,128.2484588623047,-158.9952392578125
1770963176.774901,588.0643310546875,128.2756805419922,-159.03224182128906
1770963176.8348649,587.68017578125,127.94245910644531,-158.57923889160156
1770963176.8938289,587.9862670898438,128.06248474121094,-158.74241638183594
1770963176.9557905,588.3318481445312,128.15174865722656,-158.86376953125
1770963177.0167532,588.3352661132812,128.15640258789062,-158.87008666992188
1770963177.0846636,589.4828491210938,128.56008911132812,-159.41888427734375
1770963177.150912,588.7443237304688,128.22979736328125,-158.96986389160156
1770963177.2153208,588.1635131835938,127.84130096435547,-158.4417266845703
